cfg_batch_size,cfg_num_heads,cfg_head_dim,cfg_seq_len,cfg_dtype,cfg_device,cfg_mode,cfg_pattern_type,cfg_backend,cfg_causal,cfg_topk,cfg_window_size,cfg_block_size,timing_source,pattern_build_time_ms_mean,pattern_build_time_ms_p50,pattern_build_time_ms_p95,attention_time_ms_mean,attention_time_ms_p50,attention_time_ms_p95,total_time_ms_mean,total_time_ms_p50,total_time_ms_p95,peak_memory_mb,rel_err,cosine_sim,kl_divergence,top1_match_rate,keep_ratio,sparsity_ratio,_status
10,8,256,64,fp16,cuda,prefill,dense,dense_sdpa,True,,,,real_cuda,0.0046243199496529995,0.004224000032991171,0.005921599897556003,0.014550720108672976,0.014336000196635723,0.015359999611973763,0.014773760065436363,0.014607999939471483,0.015359999611973763,12.5205078125,0.0,1.0,0.0,1.0,1.0,0.0,ok
10,8,256,64,fp16,cuda,prefill,topk,masked_sdpa,True,64,,,proxy,0.00872607999946922,0.008352000266313553,0.00922560030594468,0.08305471889674663,0.0817599967122078,0.09322080165147781,0.08688767939805984,0.0867839977145195,0.08909600004553794,25.00390625,0.0004194065404590219,1.0,1.2259847867230116e-08,0.9984375238418579,1.0,0.0,ok
10,8,256,64,fp16,cuda,prefill,topk,masked_sdpa,True,128,,,proxy,0.008404480004683136,0.008191999979317188,0.009184000082314014,0.08575103901326657,0.08191999793052673,0.09514240100979804,0.08731167912483215,0.08601599931716919,0.08913920037448406,25.00390625,0.0004250068450346589,0.9999998211860657,1.249127624465493e-08,0.999804675579071,1.0,0.0,ok
10,8,256,64,fp16,cuda,prefill,bigbird,masked_sdpa,True,64,,,proxy,0.16516608043806627,0.16600000113248825,0.17109120562672614,0.06486784018576146,0.060175999999046326,0.06396480165421962,0.23511807918548583,0.2295840010046959,0.24463680684566497,21.9462890625,0.0004215691878926009,1.0,1.1983052678744017e-08,0.9990234375,1.0,0.0,ok
10,8,256,64,fp16,cuda,prefill,bigbird,masked_sdpa,True,128,,,proxy,0.17487263955175877,0.16708800196647644,0.2354063972830772,0.06400768000632524,0.06035200133919716,0.0655359998345375,0.2310172800719738,0.22934400290250778,0.2476592071354389,21.94677734375,0.0004262796137481928,1.0,1.2513411818381242e-08,0.999218761920929,1.0,0.0,ok
10,8,256,64,fp16,cuda,prefill,bigbird,triton_bigbird,True,64,,,real_cuda,0.17003392100334166,0.1669120043516159,0.17642879635095582,0.040806719250977036,0.03993599861860275,0.045350398682057855,0.20782047897577285,0.20476799458265305,0.21855679377913473,20.6669921875,0.00011257849109824747,1.0,8.1804566268218e-10,0.9996094107627869,1.0,0.0,ok
10,8,256,64,fp16,cuda,prefill,bigbird,triton_bigbird,True,128,,,real_cuda,0.1699379207205493,0.16673599928617477,0.23991360440850237,0.05236800009384751,0.04684799909591675,0.04916320163756609,0.21098912000656128,0.21065600216388702,0.21509119868278503,20.67236328125,0.00010974727047141641,0.9999999403953552,7.829789207171291e-10,0.999804675579071,1.0,0.0,ok
10,8,256,64,fp16,cuda,decode,dense,dense_sdpa,True,,,,real_cuda,0.004455359948333353,0.004224000032991171,0.005119999870657921,0.01255520025268197,0.01228800043463707,0.013249600259587168,0.012929920041933655,0.013024000450968742,0.013316799839958548,13.3203125,0.0,0.9999998807907104,0.0,1.0,1.0,0.0,ok
10,8,256,64,fp16,cuda,decode,topk,masked_sdpa,True,64,,,proxy,0.00559296001214534,0.005408000200986862,0.006144000217318535,0.07434464041143655,0.06681600213050842,0.07769760303199291,0.07407712075859309,0.06958400085568428,0.0798591990023851,13.314453125,1.0067847967147827,0.06291799247264862,0.5073756528744969,0.012500000186264515,1.0,0.0,ok
10,8,256,64,fp16,cuda,decode,topk,masked_sdpa,True,128,,,proxy,0.005393919982016087,0.005183999892324209,0.006113599985837936,0.07220511987805367,0.06702399998903275,0.08260960280895233,0.07299808021634817,0.06852800026535988,0.08396799862384796,13.314453125,1.001961588859558,0.0875542163848877,0.4886923531922607,0.012500000186264515,1.0,0.0,ok
10,8,256,64,fp16,cuda,decode,bigbird,masked_sdpa,True,64,,,proxy,0.17246047988533975,0.1656319946050644,0.2607104122638702,0.06613055959343911,0.06259199976921082,0.06842559948563576,0.2328790396079421,0.23420799523591995,0.24581119418144226,13.267578125,1.003021240234375,0.08267336338758469,0.4886205921221711,0.012500000186264515,1.0,0.0,ok
10,8,256,64,fp16,cuda,decode,bigbird,masked_sdpa,True,128,,,proxy,0.16997407994815147,0.1656159982085228,0.23155999481678008,0.06799391895532608,0.06348799914121628,0.06802240312099456,0.23124063909053802,0.2303999960422516,0.2417231999337673,13.267578125,1.0052560567855835,0.06882311403751373,0.5025886800920789,0.0,1.0,0.0,ok
10,8,256,64,fp16,cuda,decode,bigbird,triton_bigbird,True,64,,,real_cuda,0.17150720059871674,0.16494400054216385,0.23843840584158893,0.03139424005523324,0.030848000198602676,0.03549600169062614,0.20295167982578277,0.20020800083875656,0.22039519995450974,13.24560546875,1.003143072128296,0.08026348054409027,0.48419484111689004,0.02500000037252903,1.0,0.0,ok
10,8,256,64,fp16,cuda,decode,bigbird,triton_bigbird,True,128,,,real_cuda,0.16638143926858903,0.1658879965543747,0.17041439414024354,0.035691199647262695,0.03379200026392937,0.03589120097458362,0.20568031966686248,0.20075199753046036,0.25640961080789565,13.2470703125,0.9967711567878723,0.11332724988460541,0.48890767780242594,0.012500000186264515,1.0,0.0,ok
10,8,256,128,fp16,cuda,prefill,dense,dense_sdpa,True,,,,real_cuda,0.004557439964264632,0.004416000097990036,0.005119999870657921,0.02514144018292427,0.02521600015461445,0.025599999353289604,0.026834879908710717,0.025567999109625816,0.026308799162507057,33.1650390625,0.0,0.9999999403953552,0.0,1.0,1.0,0.0,ok
10,8,256,128,fp16,cuda,prefill,topk,masked_sdpa,True,64,,,proxy,0.014368960186839103,0.012032000347971916,0.014022400043904776,0.1373251186311245,0.1369599997997284,0.14132480323314667,0.14526271998882292,0.14524799585342407,0.14752640575170517,45.015625,0.05659753456711769,0.9985094666481018,0.00012261114484088582,0.931835949420929,0.748062015503876,0.25193798449612403,ok
10,8,256,128,fp16,cuda,prefill,topk,masked_sdpa,True,128,,,proxy,0.013774079966824502,0.012223999947309494,0.015150400390848515,0.1437027195096016,0.14297600090503693,0.14745920524001122,0.15315040171146393,0.15068800002336502,0.16158400103449821,50.640625,0.0004435969749465585,0.9999998807907104,8.014827336772852e-09,0.99853515625,1.0,0.0,ok
10,8,256,128,fp16,cuda,prefill,bigbird,masked_sdpa,True,64,,,proxy,0.4427107194066048,0.43827199935913086,0.5069311857223511,0.0666425596177578,0.06451199948787689,0.07685120329260826,0.5066387218236923,0.5038080215454102,0.5498271763324738,38.408203125,0.3082590699195862,0.9552785754203796,0.0036690516827924584,0.6644531488418579,0.7209302325581395,0.2790697674418605,ok
10,8,256,128,fp16,cuda,prefill,bigbird,masked_sdpa,True,128,,,proxy,0.4135881607234478,0.41385599970817566,0.43802239894866934,0.06443775940686464,0.06304000318050385,0.06704960167407988,0.46881599754095077,0.4686719924211502,0.4782080054283142,38.4091796875,0.0004522487288340926,0.9999998211860657,8.325275384433388e-09,0.999218761920929,1.0,0.0,ok
