cfg_batch_size,cfg_num_heads,cfg_head_dim,cfg_seq_len,cfg_dtype,cfg_device,cfg_mode,cfg_pattern_type,cfg_backend,cfg_causal,cfg_topk,cfg_window_size,cfg_block_size,pattern_build_time_ms_mean,pattern_build_time_ms_p50,pattern_build_time_ms_p95,attention_time_ms_mean,attention_time_ms_p50,attention_time_ms_p95,total_time_ms_mean,total_time_ms_p50,total_time_ms_p95,peak_memory_mb,rel_err,cosine_sim,keep_ratio,sparsity_ratio,_status
1,8,64,128,fp16,cuda,prefill,dense,dense_sdpa,True,,,,0.004392959976103157,0.004095999989658594,0.006195200211368498,0.012472320208325982,0.01228800043463707,0.015411199629306791,0.013137920154258608,0.013311999849975109,0.018432000651955605,0.6298828125,0.0,1.0,1.0,0.0,ok
1,8,64,128,fp16,cuda,prefill,topk,masked_sdpa,True,32,,,0.010455040074884892,0.010239999741315842,0.014336000196635723,0.06433792043477297,0.06348799914121628,0.0707072015851736,0.07289856150746346,0.07168000191450119,0.07889919690787792,9.703125,0.20304952561855316,0.9840048551559448,0.436046511627907,0.563953488372093,ok
1,8,64,128,fp16,cuda,prefill,topk,masked_sdpa,True,64,,,0.011837440091185272,0.011264000087976456,0.016383999958634377,0.07046176016330719,0.06143999844789505,0.08949760049581526,0.07962624099105596,0.07372800260782242,0.09318400174379349,10.015625,0.05743982642889023,0.9984548687934875,0.748062015503876,0.25193798449612403,ok
1,8,64,128,fp16,cuda,prefill,topk,masked_sdpa,True,128,,,0.011683839973993599,0.011264000087976456,0.016383999958634377,0.0654448002204299,0.06451199948787689,0.06963200122117996,0.07274496182799339,0.0727040022611618,0.07782399654388428,10.640625,0.00045749597484245896,0.9999998211860657,1.0,0.0,ok
1,8,64,128,fp16,cuda,prefill,local_window,masked_sdpa,True,,64,,0.011594560113735497,0.011296000331640244,0.015359999611973763,0.06586368039250373,0.060416001826524734,0.07280640229582785,0.07166624065488576,0.06860800087451935,0.08197119794785976,9.546875,0.28278008103370667,0.9620290994644165,0.376953125,0.623046875,ok
1,8,64,128,fp16,cuda,prefill,local_window,masked_sdpa,True,,128,,0.012227200022898614,0.011264000087976456,0.016383999958634377,0.061465600430965425,0.05939200147986412,0.06558719985187053,0.07006208075210452,0.06860800087451935,0.07582720331847667,9.546875,0.00045537453843280673,0.9999998807907104,0.50390625,0.49609375,ok
1,8,64,128,fp16,cuda,prefill,local_window,masked_sdpa,True,,256,,0.011837120042182505,0.011264000087976456,0.015359999611973763,0.06912991998717188,0.05990400165319443,0.07198720164597033,0.0746288008056581,0.07014400139451027,0.08094719760119914,9.546875,0.000452978303655982,0.9999998807907104,0.50390625,0.49609375,ok
1,8,64,128,fp16,cuda,prefill,bigbird,masked_sdpa,True,64,,,0.43358143895864487,0.4259839951992035,0.49372160285711286,0.057917440161108974,0.05632000043988228,0.06656000018119812,0.48963584065437316,0.48844799399375916,0.5100032091140747,9.65625,0.32264479994773865,0.9513776302337646,0.7209302325581395,0.2790697674418605,ok
1,8,64,128,fp16,cuda,prefill,bigbird,masked_sdpa,True,128,,,0.40453023977577685,0.40755200386047363,0.4600320130586624,0.05731328006833792,0.05734400078654289,0.06348799914121628,0.4672716787457466,0.46592000126838684,0.4843519926071167,9.65625,0.00044854439329355955,1.0,1.0,0.0,ok
1,8,64,128,fp16,cuda,decode,dense,dense_sdpa,True,,,,0.004495359973516315,0.004095999989658594,0.006144000217318535,0.010158079997636378,0.010239999741315842,0.013311999849975109,0.01088511993177235,0.010239999741315842,0.014336000196635723,8.3779296875,0.0,1.0,1.0,0.0,ok
1,8,64,128,fp16,cuda,decode,topk,masked_sdpa,True,32,,,0.005437439954839647,0.005119999870657921,0.008243199996650217,0.0693660805374384,0.06758400052785873,0.07582560330629348,0.07063552096486092,0.06963200122117996,0.07782399654388428,8.41015625,1.019829511642456,0.020395148545503616,1.0,0.0,ok
